FileName,dateTime,version,distName,id,actpmA3intrafreqHO,actpmA5interfreqHO,actpmA5intrafreqHO,actpmB2,actpmRSC,actpmrsrpA3interfreqHO,actpmrsrqA3interfreqHO,cfgrsrpbinsize,cfgrsrpmin,cfgrsrqbinsize,cfgrsrqmin
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-580135/LNBTS-580135/PMRNL-1/PMRPQH-1,193696402,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-560139/LNBTS-560139/PMRNL-1/PMRPQH-1,161580297,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-595062/LNBTS-595062/PMRNL-1/PMRPQH-1,46964644,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520038/LNBTS-520038/PMRNL-1/PMRPQH-1,1606968,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-538896/LNBTS-538896/PMRNL-1/PMRPQH-1,179743009,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-536614/LNBTS-536614/PMRNL-1/PMRPQH-1,149642281,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-580023/LNBTS-580023/PMRNL-1/PMRPQH-1,114462547,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-570128/LNBTS-570128/PMRNL-1/PMRPQH-1,115568691,true,false,false,true,true,false,false,3,-140,2.0,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520024/LNBTS-520024/PMRNL-1/PMRPQH-1,1212861,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520010/LNBTS-520010/PMRNL-1/PMRPQH-1,1628406,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-580015/LNBTS-580015/PMRNL-1/PMRPQH-1,114464869,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520022/LNBTS-520022/PMRNL-1/PMRPQH-1,1214082,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-606062/LNBTS-606062/PMRNL-1/PMRPQH-1,68308888,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-536615/LNBTS-536615/PMRNL-1/PMRPQH-1,149881163,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-560151/LNBTS-560151/PMRNL-1/PMRPQH-1,107951794,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-538898/LNBTS-538898/PMRNL-1/PMRPQH-1,179612055,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-536610/LNBTS-536610/PMRNL-1/PMRPQH-1,151267880,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520016/LNBTS-520016/PMRNL-1/PMRPQH-1,193695710,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-530114/LNBTS-530114/PMRNL-1/PMRPQH-1,5910014,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-565601/LNBTS-565601/PMRNL-1/PMRPQH-1,186372831,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-602432/LNBTS-602432/PMRNL-1/PMRPQH-1,114451539,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520032/LNBTS-520032/PMRNL-1/PMRPQH-1,165871890,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520044/LNBTS-520044/PMRNL-1/PMRPQH-1,1123588,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520036/LNBTS-520036/PMRNL-1/PMRPQH-1,158958310,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-892546/LNBTS-892546/PMRNL-1/PMRPQH-1,121628977,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-560073/LNBTS-560073/PMRNL-1/PMRPQH-1,1879332,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-580472/LNBTS-580472/PMRNL-1/PMRPQH-1,3596494,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-538889/LNBTS-538889/PMRNL-1/PMRPQH-1,179742186,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-892506/LNBTS-892506/PMRNL-1/PMRPQH-1,121630609,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520015/LNBTS-520015/PMRNL-1/PMRPQH-1,1252374,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-553047/LNBTS-553047/PMRNL-1/PMRPQH-1,177187334,true,false,false,true,true,false,false,3,-140,1.5,-19.5
